{'seed': 2, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': True}
{'seed': 4, 'twist': 'count', 'alive': 33, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 2, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 6, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': True}
{'seed': 7, 'twist': 'count', 'alive': 47, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 8, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 12, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 13, 'twist': 'count', 'alive': 53, 'killed': {'block': 6, 'sparse': 0, 'dense': 6, 'fill': 0, 'clear': 0}, 'active': True, 'degenerate': True}
{'seed': 15, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 16, 'twist': 'count', 'alive': 33, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 17, 'twist': 'count', 'alive': 18, 'killed': {'block': 0, 'sparse': 0, 'dense': 18, 'fill': 0, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 18, 'twist': 'count', 'alive': 47, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 19, 'twist': 'count', 'alive': 12, 'killed': {'block': 12, 'sparse': 12, 'dense': 8, 'fill': 4, 'clear': 12}, 'active': True, 'degenerate': True}
{'seed': 20, 'twist': 'count', 'alive': 6, 'killed': {'block': 0, 'sparse': 0, 'dense': 6, 'fill': 0, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 21, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 22, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': True}
{'seed': 23, 'twist': 'count', 'alive': 18, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 25, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 27, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 28, 'twist': 'count', 'alive': 6677, 'killed': {'block': 1821, 'sparse': 764, 'dense': 1753, 'fill': 369, 'clear': 331}, 'active': True, 'degenerate': True}
{'seed': 30, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 2, 'fill': 2, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 31, 'twist': 'count', 'alive': 2, 'killed': {'block': 2, 'sparse': 0, 'dense': 2, 'fill': 2, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 32, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 2, 'dense': 0, 'fill': 2, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 33, 'twist': 'count', 'alive': 35, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 35, 'twist': 'count', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
