{'seed': 0, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 1, 'twist': 'own', 'alive': 35, 'killed': {'block': 35, 'sparse': 35, 'dense': 35, 'fill': 0, 'clear': 35}, 'active': True, 'degenerate': False}
{'seed': 2, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 3, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 4, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 5, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 6, 'twist': 'own', 'alive': 39, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 6, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 7, 'twist': 'own', 'alive': 49, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 8, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 8, 'twist': 'own', 'alive': 49, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 49, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 9, 'twist': 'own', 'alive': 6, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 4, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 10, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 2, 'clear': 0}, 'active': True, 'degenerate': True}
{'seed': 11, 'twist': 'own', 'alive': 47, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 12, 'twist': 'own', 'alive': 33, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 13, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': True}
{'seed': 15, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 17, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 18, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': True}
{'seed': 19, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 20, 'twist': 'own', 'alive': 47, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 21, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 22, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 23, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 24, 'twist': 'own', 'alive': 33, 'killed': {'block': 0, 'sparse': 2, 'dense': 2, 'fill': 2, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 25, 'twist': 'own', 'alive': 247, 'killed': {'block': 4, 'sparse': 0, 'dense': 4, 'fill': 10, 'clear': 10}, 'active': True, 'degenerate': False}
{'seed': 26, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 27, 'twist': 'own', 'alive': 47, 'killed': {'block': 0, 'sparse': 4, 'dense': 4, 'fill': 4, 'clear': 4}, 'active': True, 'degenerate': False}
{'seed': 28, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 29, 'twist': 'own', 'alive': 35, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 31, 'twist': 'own', 'alive': 2, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': False}
{'seed': 34, 'twist': 'own', 'alive': 47, 'killed': {'block': 47, 'sparse': 47, 'dense': 47, 'fill': 6, 'clear': 0}, 'active': True, 'degenerate': False}
{'seed': 35, 'twist': 'own', 'alive': 47, 'killed': {'block': 0, 'sparse': 0, 'dense': 0, 'fill': 0, 'clear': 0}, 'active': False, 'degenerate': True}
